song_title,artist,energy,danceability,tempo,acousticness,instrumentalness,valence,speechiness
Blinding Lights,The Weeknd,0.73,0.51,171.0,0.001,0.000,0.33,0.06
Bad Guy,Billie Eilish,0.43,0.70,135.0,0.33,0.13,0.56,0.38
In Da Club,50 Cent,0.71,0.90,90.0,0.26,0.000,0.78,0.37
Strobe,Deadmau5,0.73,0.60,128.0,0.01,0.80,0.20,0.04
Bohemian Rhapsody,Queen,0.40,0.41,72.0,0.29,0.000,0.23,0.05
Back in Black,AC/DC,0.70,0.31,94.0,0.01,0.000,0.76,0.05
Lovely Day,Bill Withers,0.65,0.69,98.0,0.29,0.000,0.90,0.03
Hallelujah,Jeff Buckley,0.15,0.35,66.0,0.95,0.02,0.18,0.03
Take Five,Dave Brubeck,0.32,0.45,174.0,0.54,0.70,0.55,0.04
Clair de Lune,Debussy,0.08,0.20,70.0,0.99,0.90,0.12,0.03
